Site,Average_Kelp_Coverage,Longitude,Latitude
Fossil Cliffs.Maria External.TAS.0,46.2,148.0805,-42.5737
Fossil Island.Tasman Peninsular.TAS.17,11.8,147.9448,-43.0298
Friendly Point. 10m.Bicheno External.TAS.13,19.1,148.3043,-42.0561
Gardens Rocks.North East.TAS.19,35.45,148.2916,-41.2079
Goat Island. 10m.North West.TAS.9,0.1,146.1431,-41.1314
Goat Island. 5m.North West.TAS.9,2.3,146.1372,-41.1343
Grants Point South.North East.TAS.19,28.2,148.3383,-41.2601
Grants Point West. 10m.North East.TAS.19,49.9,148.3355,-41.2503
Grants Point West. 5m.North East.TAS.19,30.2,148.3356,-41.2511
Green Bluff.Maria External.TAS.0,49.646153846153844,148.0115,-42.7201
Green Island.Ninepin External.TAS.6,0.0,147.2914,-43.1937
Green Point.Northern West .TAS.23,5.9,144.6497,-40.8989
Grindstone Bay.Maria Island Vincinity.TAS.2,2.2,148.0048,-42.4388
Halfway Point.Bicheno External.TAS.13,21.52,148.3163,-41.9033
High Yellow Bluff South.Tasman Peninsular.TAS.17,14.8,147.9885,-42.9361
High Yellow Bluff.Tasman Peninsular.TAS.17,17.1,147.996,-42.9271
Horseshoe Reef.Northern.TAS.22,1.2,146.4259,-41.1427
Huon Island.Ninepin External.TAS.6,19.81,147.1418,-43.2938
Ile des Phoques.Maria External.TAS.0,60.2,148.1618,-42.412
Ile du Nord.Maria External.TAS.0,44.400000000000006,148.0674,-42.5623
Inner Saddle Bight Middle Reef. 10m.Port Davey.TAS,12.52,145.9028,-43.3025
Inner Saddle Bight Middle Reef. 5m.Port Davey.TAS.,4.08,145.9029,-43.3006
Inner Saddle South West Point.Port Davey.TAS.16,11.833333333333334,145.8966,-43.3122
Iron Pot.Tinderbox External.TAS.4,44.9,147.4164,-43.0585
Ironhouse. 10m.North East.TAS.19,1.9,148.3175,-41.5816
Isle of the Dead.Tasman Peninsular.TAS.17,14.899999999999999,147.8694,-43.1485
Kathleen Island.Port Davey.TAS.16,6.8,145.9668,-43.3066
Kelvadon Point.North East.TAS.19,1.3,148.069,-42.1899
Lachlan Island.Maria Island Vincinity.TAS.2,8.9,147.9804,-42.6435
Lagoon Bay.Tasman Peninsular.TAS.17,10.8,147.9736,-42.8835
Lillico Beach. 10m.North West.TAS.9,0.0,146.2932,-41.1527
Little Bluestone Bay. 10m.Bicheno External.TAS.13,54.5,148.3417,-42.1107
Little Penguin Point.Ninepin External.TAS.6,21.1,147.1793,-43.3542
Little Waterhouse Island.North Coast.TAS.7,1.8,147.6283,-40.8225
Low Head. Pilots Bay. 5m.Northern.TAS.22,3.1,146.7843,-41.056
Low Head.Northern.TAS.22,1.1,146.79,-41.0544
Low Rocks Point.South West.TAS.20,4.5,145.5104,-42.9845
Lucas Point.Tinderbox External.TAS.4,28.518181818181816,147.3389,-43.0383
Maatsuyker Island.South West.TAS.20,18.5,146.2834,-43.6445
Magistrates Point North.Maria Island Reserve.TAS.1,40.20769230769231,148.0546,-42.5827
Magistrates Point South.Maria Island Reserve.TAS.1,30.423076923076923,148.0519,-42.5863
Milner Head .Port Davey.TAS.16,8.299999999999999,145.9862,-43.3227
Milner Head North.Port Davey.TAS.16,8.5,145.983,-43.3219
Mutton Bird Island.Port Davey.TAS.16,9.66,145.9724,-43.4165
Muttonbird Island South.Port Davey.TAS.16,34.13333333333333,145.9696,-43.4218
New Harbour.South West.TAS.20,2.9,146.1485,-43.5205
Norman Cove Inner.Port Davey.TAS.16,7.7,145.9332,-43.3694
Normans Bay.Port Davey.TAS.16,3.6,145.9332,-43.3694
North  Weatherhead.Schouten Island.TAS.14,0.7,148.2537,-42.2283
North Croppies Point. 10m.North Coast.TAS.7,0.0,147.5937,-40.8472
North Croppies Point. 5m.North Coast.TAS.7,0.3,147.5943,-40.8485
North East Siltstone.Maria External.TAS.0,78.7,148.1243,-42.5905
North Governor Isle.Bicheno Internal.TAS.12,22.32,148.3136,-41.8695
North West. Schouten.Schouten Island.TAS.14,72.6,148.2885,-42.2933
North Whalers Point.Port Davey.TAS.16,35.65,145.9265,-43.299
North of One Tree Point.Bruny Island.TAS.18,66.3,147.3825,-43.1013
North of Rockslide/Knobby's Wall.Tasman Peninsular,48.8,147.9661,-42.9833
Nut.North West.TAS.9,51.0,145.3084,-40.7665
Okehampton Bay.Maria Island Vincinity.TAS.2,6.507692307692308,147.9693,-42.524
One Tree Point (South).Bruny Island.TAS.18,69.3,147.4014,-43.1285
Opossum Bay 5m.Tinderbox External.TAS.4,9.1,147.3981,-42.9917
Outer Saddle Bight. Inner West. 10m.Port Davey.TAS,17.0,145.8759,-43.316
Outer Saddle Bight.Port Davey.TAS.16,14.274999999999999,145.8737,-43.3181
Outer Sister (West). 5m.North West.TAS.9,6.0,146.1269,-41.1198
Painted Cliffs North.Maria Island Reserve.TAS.1,5.4,148.0504,-42.5921
Painted Cliffs South.Maria Island Reserve.TAS.1,21.892307692307693,148.0463,-42.6025
Passage Point.Bass Strait.TAS.10,17.0,148.3423,-40.4895
Pearsons Point.Tinderbox Reserve.TAS.3,63.372727272727275,147.3421,-43.0534
Penguin Point. 10m.North West.TAS.9,0.5,146.1208,-41.116
Penguin. 5m.North West.TAS.9,2.8,146.0735,-41.1043
Piggery. 5m.North West.TAS.9,0.2,146.1044,-41.1165
Point Holme Lookout.Maria Island Vincinity.TAS.2,13.323076923076922,147.9481,-42.5531
Point Leseuer.Maria External.TAS.0,5.407692307692307,148.007,-42.6608
Port Arthur/Stewarts Bay.Tasman Peninsular.TAS.17,14.6,147.8664,-43.1375
Refuge Island.Schouten Island.TAS.14,0.0,148.2607,-42.1793
Return Point.Maria Island Reserve.TAS.1,23.558333333333334,148.0243,-42.629
Rheban.Maria Island Vincinity.TAS.2,2.5,147.9391,-42.6258
Roberts Point.Tinderbox External.TAS.4,0.0,147.2818,-43.145
Rockslide.Tasman Peninsular.TAS.17,13.8,147.954,-42.9981
Rocky Cape.North West.TAS.9,4.7,145.5164,-40.8585
Rough Bay.Port Davey.TAS.16,2.4,145.8504,-43.3095
Sandblow Channel. 10m.King Island.TAS.8,0.5,144.0448,-40.0804
Sarah Island.Bathurst Harbour.TAS.15,0.16,145.995,-43.3306
Schouten 1.Schouten Island.TAS.14,35.4,148.2351,-42.3112
Schouten 2.Schouten Island.TAS.14,14.6,148.2529,-42.292
Schouten 3.Schouten Island.TAS.14,27.8,148.2764,-42.2952
Shark Jaw Gulch. 10m.Port Davey.TAS.16,10.016666666666667,145.8428,-43.3093
Shark Jaw Gulch. 5m.Port Davey.TAS.16,5.75,145.8424,-43.3098
Shark Jaw.Port Davey.TAS.16,8.433333333333334,145.8467,-43.3042
Shoemaker Bay.South West.TAS.20,19.4,146.6668,-43.6004
Sisters Beach. Point West. 10m.North West.TAS.9,9.1,145.5484,-40.9018
Sisters Island East. 10m.North West.TAS.9,16.4,145.5815,-40.904
Sisters Rocks.North West.TAS.9,20.2,145.5884,-40.9155
Skeleton Bay East.North East.TAS.19,37.7,148.324,-41.2504
Skeleton Bay West. 10m.North East.TAS.19,64.3,148.318,-41.249
Skeleton Rk East.North East.TAS.19,51.7,148.3311,-41.2484
Sleepy Bay North. 10m.Bicheno External.TAS.13,48.3,148.3269,-42.1316
Sloop Point.Central West.TAS.24,0.2,145.1946,-42.3099
Sloping Point.Bass Strait.TAS.10,0.0,148.2294,-40.4645
South Cape Rivulet.South West.TAS.20,22.2,146.7848,-43.607
South Cape Site 1.South West.TAS.20,14.9,146.7095,-43.6305
South Cape Site 2.South West.TAS.20,0.4,146.7283,-43.6244
South Cape Sorrell.Central West.TAS.24,1.5,145.1886,-42.214
South Channel Head.Port Davey.TAS.16,21.525,145.9882,-43.3294
South East Governor Isle.Bicheno Internal.TAS.12,16.883333333333333,148.3143,-41.8745
South Hazard.Schouten Island.TAS.14,3.0,148.2724,-42.215
South Whalers Point.Port Davey.TAS.16,16.808333333333334,145.9172,-43.3033
South of Bicheno.Bicheno External.TAS.13,15.8,148.3112,-41.8955
South of Fisheries.Schouten Island.TAS.14,14.8,148.2648,-42.1563
South of One Tree Point.Bruny Island.TAS.18,27.5,147.3896,-43.1147
Spain Bay.Port Davey.TAS.16,42.699999999999996,145.9578,-43.3612
Spring Beach.Maria Island Vincinity.TAS.2,26.700000000000003,147.9157,-42.5836
St Helens Island. 10m.North East.TAS.19,57.9,148.3427,-41.3543
St Helens Island.North East.TAS.19,37.7,148.3397,-41.3443
St Helens Point. 10m.North East.TAS.19,30.3,148.3539,-41.273
St Helens Point. 5m.North East.TAS.19,6.8,148.3545,-41.2735
St Helens Rocks.North East.TAS.19,14.9,148.368,-41.2879
Stony Head.Northern.TAS.22,6.3,147.0213,-40.9803
Swan Island Light.Flinders .TAS.21,19.2,148.1273,-40.7325
Swan Island.Flinders .TAS.21,29.0,148.1233,-40.7355
Table Cape.North West.TAS.9,37.4,145.7204,-40.9435
Tea-tree Point. 10m.North West.TAS.9,0.0,146.106,-41.1134
Tranmere Point.Derwent.TAS.46,0.0,147.4093,-42.9304
Trumpeter Bay North.Bruny Island.TAS.18,60.6,147.3942,-43.1467
Trumpeter Bay South.Bruny Island.TAS.18,54.1,147.4044,-43.1662
Two Mile Beach.Tasman Peninsular.TAS.17,34.1,147.9584,-42.8695
Two Mile Reef.Northern.TAS.22,0.0,146.8196,-41.0379
Variety Bay South .Bruny Island.TAS.18,16.1,147.417,-43.2044
Variety Bay.Bruny Island.TAS.18,63.7,147.4125,-43.1876
Waterfall Bay.Tasman Peninsular.TAS.17,39.95,147.9469,-43.0604
Waterhouse Bay.North Coast.TAS.7,0.0,147.6196,-40.8443
Waterhouse Island (central).North Coast.TAS.7,0.0,147.6263,-40.7965
Waterhouse Island North.North Coast.TAS.7,0.3,147.6413,-40.7785
Waterhouse Island West.North Coast.TAS.7,0.0,147.6208,-40.8048
Waterhouse Point.North Coast.TAS.7,1.4,147.6703,-40.8195
Waubs Bay.Bicheno External.TAS.13,44.04,148.3034,-41.8686
Weatherhead Point Light.Schouten Island.TAS.14,8.7,148.2518,-42.2327
West Head.Northern.TAS.22,0.3,146.7097,-41.0614
West Point.Northern West .TAS.23,2.8,144.616,-40.9316
West Pyramid.Port Davey.TAS.16,23.566666666666666,145.8193,-43.2973
West Ulverstone. 10m.North West.TAS.9,5.6,146.1551,-41.1327
West of Nut.North West.TAS.9,4.2,145.2984,-40.7405
West of Surprise Bay.South West.TAS.20,11.5,146.6421,-43.5831
Whalers Cove.Maria External.TAS.0,56.0,148.1146,-42.6637
Whalers Point North. 300m North of Whalers Point E,20.44,145.9238,-43.2971
Whalers Point. Whalers Beach. 5m.Port Davey.TAS.16,13.225,145.9228,-43.2911
White Rock. South Arm.Derwent.TAS.46,32.0,147.3923,-42.9774
Window Pane Bay.South West.TAS.20,10.7,146.0109,-43.4668
Zuidpool Rock.Ninepin External.TAS.6,69.6,147.1684,-43.3253
